state,county,weight,count,state,n_the_tweets,mis_index_weight,mis_index_count
alabama,chilton,1.0,1,,,,
alabama,crenshaw,6.079270533212484,7,1.0,1.0,6.079270533212484,7.0
alabama,cullman,5.353658043881253,12,5.0,5.0,1.0707316087762506,2.4
alabama,geneva,3.0,3,18.0,18.0,0.16666666666666666,0.16666666666666666
alabama,mobile,259.28071854967106,394,240.0,240.0,1.0803363272902962,1.6416666666666666
alabama,talladega,3.698664889975519,8,6.0,6.0,0.6164441483292532,1.3333333333333333
alabama,tuscaloosa,96.02011146932225,133,138.0,138.0,0.6957979091979872,0.9637681159420289
alaska,anchorage,92.2866310920541,147,271.0,271.0,0.340541074140421,0.5424354243542435
alaska,sitka,3.0,3,4.0,4.0,0.75,0.75
arizona,maricopa,5.626448974160054,10,7.0,7.0,0.8037784248800077,1.4285714285714286
arizona,pima,1.0,1,1.0,1.0,1.0,1.0
arizona,yavapai,1.0,1,13.0,13.0,0.07692307692307693,0.07692307692307693
arkansas,conway,39.999016284872674,69,60.0,60.0,0.6666502714145446,1.15
arkansas,lonoke,2.1270866442054728,3,,,,
arkansas,searcy,2.60044365916856,5,8.0,8.0,0.32505545739607,0.625
arkansas,sebastian,1.0,1,,,,
california,alameda,9.597407452399978,12,65.0,65.0,0.14765242234461504,0.18461538461538463
california,alpine,4.521173125956076,6,9.0,9.0,0.5023525695506751,0.6666666666666666
california,amador,0.3940864817506029,1,,,,
california,colusa,0.9357788112779772,1,,,,
california,el dorado,4.394086481750603,5,4.0,4.0,1.0985216204376507,1.25
california,fresno,274.2053615653946,364,408.0,408.0,0.6720719646210651,0.8921568627450981
california,imperial,4.2063571774179564,6,4.0,4.0,1.0515892943544891,1.5
california,los angeles,7587.980057039176,10464,11112.0,11112.0,0.6828635760474421,0.9416846652267818
california,madera,20.408326928000502,27,6.0,6.0,3.401387821333417,4.5
california,marin,2.0,2,32.0,32.0,0.0625,0.0625
california,mariposa,0.0130026574957471,1,9.0,9.0,0.0014447397217496778,0.1111111111111111
california,merced,24.8738913773665,32,43.0,43.0,0.578462590171314,0.7441860465116279
california,mono,0.2541732884109456,2,6.0,6.0,0.042362214735157604,0.3333333333333333
california,monterey,28.54280602029754,44,82.0,82.0,0.34808300024753097,0.5365853658536586
california,napa,14.596759472294448,23,52.0,52.0,0.2807069129287394,0.4423076923076923
california,nevada,1.0,1,8.0,8.0,0.125,0.125
california,riverside,192.32569593253598,250,233.0,233.0,0.8254321713842746,1.0729613733905579
california,sacramento,655.7917075431448,862,1097.0,1097.0,0.5978046559190016,0.7857793983591613
california,san bernardino,151.00894265137956,185,87.0,87.0,1.7357349730043627,2.1264367816091956
california,san diego,1324.4545792281026,1921,2676.0,2676.0,0.4949381835680503,0.7178624813153961
california,san francisco,1013.2541751835722,1428,3250.0,3250.0,0.3117705154410991,0.4393846153846154
california,san joaquin,1.0,1,2.0,2.0,0.5,0.5
california,san luis obispo,8.586079142478264,16,73.0,73.0,0.11761752249970224,0.2191780821917808
california,san mateo,18.375247562228626,28,78.0,78.0,0.23558009695164905,0.358974358974359
california,santa barbara,37.696330966299286,50,204.0,204.0,0.1847859361093102,0.24509803921568626
california,santa clara,6.732085501207919,11,154.0,154.0,0.04371484091693454,0.07142857142857142
california,santa cruz,36.09879681442744,56,199.0,199.0,0.1814009890172233,0.2814070351758794
california,siskiyou,1.0,1,,,,
california,sonoma,6.575910247871707,12,63.0,63.0,0.10437952774399534,0.19047619047619047
california,tulare,17.924249601912845,23,5.0,5.0,3.584849920382569,4.6
california,tuolumne,1.0,1,1.0,1.0,1.0,1.0
california,ventura,33.50584920158069,52,127.0,127.0,0.2638255842644149,0.4094488188976378
california,yolo,7.4699545947298,10,4.0,4.0,1.86748864868245,2.5
california,yuba,7.390978778552058,11,3.0,3.0,2.463659592850686,3.6666666666666665
colorado,alamosa,1.1903183131536281,2,5.0,5.0,0.23806366263072562,0.4
colorado,boulder,39.833104439210885,55,422.0,422.0,0.09439124274694523,0.13033175355450238
colorado,broomfield,5.661262427657295,9,37.0,37.0,0.15300709263938636,0.24324324324324326
colorado,denver,1010.5583032308482,1503,3132.0,3132.0,0.32265590780039854,0.47988505747126436
colorado,eagle,1.0,1,16.0,16.0,0.0625,0.0625
colorado,la plata,5.394086481750603,6,1.0,1.0,5.394086481750603,6.0
colorado,las animas,0.3940864817506029,1,,,,
colorado,montrose,1.4993776131078482,4,6.0,6.0,0.24989626885130803,0.6666666666666666
colorado,pueblo,9.838438533308475,22,50.0,50.0,0.1967687706661695,0.44
colorado,weld,1.394086481750603,2,,,,
connecticut,hartford,87.91704095699333,126,152.0,152.0,0.5784015852433771,0.8289473684210527
connecticut,new haven,172.8413813276597,232,246.0,246.0,0.7026072411693484,0.943089430894309
connecticut,new london,31.38371389632897,40,23.0,23.0,1.36450929984039,1.7391304347826086
connecticut,tolland,1.0,1,2.0,2.0,0.5,0.5
delaware,new castle,9.679714192381043,13,17.0,17.0,0.5693949524930025,0.7647058823529411
district of columbia,district of columbia,38.361551617593705,48,36.0,36.0,1.0655986560442696,1.3333333333333333
florida,alachua,0.1270866442054728,1,1.0,1.0,0.1270866442054728,1.0
florida,broward,230.97550495693113,353,75.0,75.0,3.0796733994257486,4.706666666666667
florida,dixie,0.6896959262614764,4,6.0,6.0,0.1149493210435794,0.6666666666666666
florida,gadsden,1.0,1,1.0,1.0,1.0,1.0
florida,hernando,1.0,1,5.0,5.0,0.2,0.2
florida,highlands,1.1884523406189547,4,10.0,10.0,0.11884523406189547,0.4
florida,miami-dade,2.788172963501206,4,7.0,7.0,0.3983104233573151,0.5714285714285714
florida,palm beach,54.87972871263494,82,95.0,95.0,0.5776813548698415,0.8631578947368421
florida,pasco,1.285627710630441,4,7.0,7.0,0.18366110151863443,0.5714285714285714
florida,pinellas,0.0260205981447612,1,1.0,1.0,0.0260205981447612,1.0
florida,sarasota,77.77906831566182,119,183.0,183.0,0.42502223123312466,0.6502732240437158
florida,st. johns,2.1270866442054728,3,2.0,2.0,1.0635433221027364,1.5
florida,st. lucie,0.0792705332124841,1,,,,
florida,suwannee,0.9357788112779772,1,,,,
florida,volusia,1.0,1,5.0,5.0,0.2,0.2
georgia,baldwin,1.0,1,,,,
georgia,ben hill,0.584404794904231,2,,,,
georgia,coweta,1.0,1,,,,
georgia,evans,2.7111252256449987,6,15.0,15.0,0.1807416817096666,0.4
georgia,gordon,1.0,1,,,,
georgia,gwinnett,12.4461596433916,14,8.0,8.0,1.55576995542395,1.75
georgia,irwin,1.0,1,,,,
georgia,meriwether,1.0,1,,,,
georgia,spalding,0.0260205981447612,1,6.0,6.0,0.0043367663574602,0.16666666666666666
georgia,walton,1.0260205981447612,2,7.0,7.0,0.1465743711635373,0.2857142857142857
georgia,ware,0.0520411962895224,2,,,,
guam,guam,47.83142747227879,67,26.0,26.0,1.839670287395338,2.576923076923077
hawaii,honolulu,218.01556777531158,285,479.0,479.0,0.45514732312173606,0.5949895615866388
hawaii,kauai,2.190318313153628,3,20.0,20.0,0.1095159156576814,0.15
hawaii,maui,6.409976456387288,12,39.0,39.0,0.16435837067659714,0.3076923076923077
hawaiʻi,honolulu,7.260775173239547,10,479.0,479.0,0.015158194516157719,0.020876826722338204
hawaiʻi,kauai,3.32986529302858,4,20.0,20.0,0.166493264651429,0.2
hawaiʻi,maui,1.0922731907082313,3,39.0,39.0,0.028007004889954647,0.07692307692307693
idaho,ada,2.570954939460884,5,1.0,1.0,2.570954939460884,5.0
idaho,boise,88.4379356898737,145,497.0,497.0,0.1779435325751986,0.2917505030181087
idaho,boundary,1.0,1,,,,
idaho,elmore,2.0484806327776504,3,4.0,4.0,0.5121201581944126,0.75
idaho,jerome,0.2286996181909305,2,3.0,3.0,0.07623320606364349,0.6666666666666666
idaho,payette,1.0,1,,,,
idaho,power,0.0260205981447612,1,1.0,1.0,0.0260205981447612,1.0
idaho,twin falls,6.507138213353462,11,15.0,15.0,0.43380921422356417,0.7333333333333333
illinois,effingham,1.0,1,8.0,8.0,0.125,0.125
illinois,jersey,518.8994767182708,685,375.0,375.0,1.3837319379153887,1.8266666666666667
illinois,kankakee,16.749963006859318,30,14.0,14.0,1.19642592906138,2.142857142857143
illinois,peoria,28.088115418212656,34,63.0,63.0,0.44584310187639137,0.5396825396825397
illinois,rock island,5.790395758857483,10,20.0,20.0,0.28951978794287414,0.5
indiana,dubois,1.0,1,1.0,1.0,1.0,1.0
indiana,elkhart,4.869818401078486,11,13.0,13.0,0.37460141546757586,0.8461538461538461
indiana,jay,3.190318313153628,4,13.0,13.0,0.24540910101181754,0.3076923076923077
indiana,switzerland,96.64202792083208,153,222.0,222.0,0.4353244500938382,0.6891891891891891
indiana,vigo,1.0,1,5.0,5.0,0.2,0.2
indiana,wabash,0.9152596077066786,3,2.0,2.0,0.4576298038533393,1.5
iowa,des moines,84.04389745050527,120,430.0,430.0,0.19545092430350064,0.27906976744186046
iowa,dubuque,4.409678148067332,8,34.0,34.0,0.12969641611962743,0.23529411764705882
iowa,keokuk,1.0,1,1.0,1.0,1.0,1.0
iowa,muscatine,1.206357177417957,3,14.0,14.0,0.08616836981556834,0.21428571428571427
iowa,sac,16.87596986857861,21,7.0,7.0,2.410852838368373,3.0
iowa,tama,2.0,2,1.0,1.0,2.0,2.0
iowa,wapello,0.0130026574957471,1,,,,
kansas,cloud,3.2548378101956073,6,10.0,10.0,0.3254837810195607,0.6
kansas,ellsworth,1.0,1,,,,
kansas,harvey,1.0260053149914943,3,6.0,6.0,0.17100088583191572,0.5
kansas,leavenworth,3.60044365916856,6,15.0,15.0,0.240029577277904,0.4
kansas,ness,1.0260205981447612,2,1.0,1.0,1.0260205981447612,2.0
kansas,republic,0.0130026574957471,1,,,,
kansas,riley,3.3940864817506027,4,1.0,1.0,3.3940864817506027,4.0
kansas,shawnee,4.4070891392463505,6,28.0,28.0,0.15739604068736965,0.21428571428571427
kentucky,bourbon,1.0,1,,,,
kentucky,carlisle,3.9568672950711874,13,26.0,26.0,0.15218720365658414,0.5
kentucky,casey,1.0,1,,,,
kentucky,laurel,2.0,2,5.0,5.0,0.4,0.4
kentucky,spencer,0.0792705332124841,1,,,,
louisiana,ascension parish,2.0,2,,,,
louisiana,orleans parish,2.0,2,,,,
louisiana,st. landry parish,1.0,1,,,,
louisiana,terrebonne parish,1.394086481750603,2,,,,
maine,aroostook,0.0130026574957471,1,3.0,3.0,0.0043342191652490335,0.3333333333333333
maine,oxford,15.911369924461873,45,194.0,194.0,0.08201737074464883,0.23195876288659795
maryland,anne arundel,2.0,2,5.0,5.0,0.4,0.4
maryland,baltimore,2648.3379624188005,3236,1790.0,1790.0,1.4795184147591065,1.8078212290502793
maryland,baltimore city,3.32986529302858,4,3.0,3.0,1.1099550976761934,1.3333333333333333
maryland,harford,1.0,1,2.0,2.0,0.5,0.5
maryland,prince george's,1.0,1,6.0,6.0,0.16666666666666666,0.16666666666666666
massachusetts,berkshire,4.321630042655634,8,38.0,38.0,0.11372710638567458,0.21052631578947367
massachusetts,nantucket,2.1845616645697294,5,10.0,10.0,0.21845616645697294,0.5
massachusetts,plymouth,5.753550901518794,10,18.0,18.0,0.3196417167510441,0.5555555555555556
massachusetts,worcester,58.38474451916465,84,146.0,146.0,0.3998955104052373,0.5753424657534246
michigan,alger,6.473357014963087,8,7.0,7.0,0.9247652878518695,1.1428571428571428
michigan,allegan,1.7881729635012058,3,6.0,6.0,0.29802882725020097,0.5
michigan,alpena,1.394086481750603,2,3.0,3.0,0.46469549391686765,0.6666666666666666
michigan,bay,25.438839604619847,35,29.0,29.0,0.8772013656765465,1.206896551724138
michigan,cheboygan,0.1903183131536281,1,2.0,2.0,0.09515915657681405,0.5
michigan,clare,1.0,1,1.0,1.0,1.0,1.0
michigan,hillsdale,1.4922970355027736,4,9.0,9.0,0.1658107817225304,0.4444444444444444
michigan,houghton,1.4721482761848865,5,20.0,20.0,0.07360741380924432,0.25
michigan,ionia,3.2547202163356914,6,9.0,9.0,0.3616355795928546,0.6666666666666666
michigan,isabella,1.0,1,,,,
michigan,kalamazoo,79.60393530891761,108,124.0,124.0,0.6419672202332065,0.8709677419354839
