state,weight,count,n_the_tweets,mis_index_weight,mis_index_count
alabama,2534.360224624173,3807,3823,0.6629244636736,0.9958148051268637
alaska,353.9731918446958,556,943,0.37536923843552045,0.5896076352067868
arizona,3569.2042361328395,5215,7029,0.5077826484752938,0.741926305306587
arkansas,2190.1068042923152,4270,12551,0.17449659822263686,0.3402119353039598
california,27218.631088571678,37990,47992,0.5671493392351158,0.7915902650441741
colorado,2638.162791420531,4056,8454,0.3120608932364006,0.47977288857345635
connecticut,1533.5657130676789,2202,3513,0.4365401972865582,0.6268146883005978
delaware,539.5785648177878,742,902,0.5982024000197204,0.8226164079822617
district of columbia,38.361551617593705,48,36,1.0655986560442696,1.3333333333333333
florida,14443.605028409045,21428,20899,0.6911146479931597,1.0253122158954975
georgia,13836.220900781631,19704,11661,1.1865381100061427,1.6897350141497298
guam,47.83142747227879,67,26,1.839670287395338,2.576923076923077
hawaii,789.0984384486188,1054,1331,0.59286133617477,0.791885800150263
hawaiʻi,11.682913656976359,17,66,0.1770138432875206,0.25757575757575757
idaho,451.696416932324,724,1548,0.29179355098987336,0.46770025839793283
illinois,10587.760170891292,15382,19344,0.5473407863363985,0.7951819685690653
indiana,2963.054957636452,4688,7123,0.41598412995036527,0.6581496560438018
iowa,1973.8210438460821,3201,7606,0.25950842017434683,0.4208519589797528
kansas,1798.5321749725072,2786,4454,0.40380156600191003,0.6255051638976201
kentucky,1541.638149525907,2309,4663,0.33061079766800494,0.4951747801844306
louisiana,7178.740435368594,9962,5115,1.403468315810087,1.947605083088954
maine,392.83435006351505,711,2138,0.18373917215318758,0.3325537885874649
maryland,5543.215667708831,7209,6717,0.8252516998226634,1.0732469852612774
massachusetts,2640.3585156152008,3909,9015,0.29288502669053806,0.43361064891846923
michigan,6513.645914266409,9447,9214,0.7069292288112013,1.0252876058172347
minnesota,1923.690822455044,3365,8816,0.21820449438010936,0.3816923774954628
mississippi,1281.9054652260104,1880,1709,0.7500909685348217,1.1000585137507315
missouri,2995.45221197152,4430,6330,0.47321519936358925,0.6998420221169036
montana,375.473324817326,621,1409,0.2664821325885919,0.44073811213626685
nebraska,1188.5370747589513,1727,2865,0.414847146512723,0.6027923211169285
nevada,2602.7997265240697,3822,4395,0.5922183678097998,0.8696245733788396
new hampshire,255.16840467890006,431,1502,0.1698857554453396,0.28695073235685753
new jersey,4387.075347625008,6270,8589,0.5107783615816752,0.7300034928396787
new mexico,1228.6274768267438,1818,2512,0.489103294915105,0.7237261146496815
new york,13079.437951628608,18917,31062,0.421075202872597,0.6090077908698731
north carolina,5773.128530309443,8761,13241,0.43600396724638946,0.66165697454875
north dakota,379.05811984353943,772,2179,0.17395966950139488,0.35429095915557596
ohio,7140.100836970948,10324,13175,0.5419431375310018,0.7836053130929791
oklahoma,1936.4756546877964,2868,3929,0.4928673083959777,0.7299567319928735
oregon,1756.9655883092034,2730,5687,0.30894418644438254,0.4800422015122209
pennsylvania,7263.213770664405,10785,15459,0.4698372320760984,0.697651853289346
puerto rico,28.137070039807362,34,26,1.0821950015310524,1.3076923076923077
rhode island,511.94303531214655,738,1355,0.3778177382377465,0.5446494464944649
south carolina,2387.214254488738,3449,4361,0.5474006545491259,0.7908736528319192
south dakota,227.67608609228827,386,840,0.27104295963367653,0.4595238095238095
tennessee,3425.5571591545745,5085,6877,0.4981179524726733,0.7394212592700306
texas,26458.973622029873,39209,35836,0.7383350156833874,1.0941232280388435
utah,822.189385142171,1360,3077,0.2672048700494543,0.4419889502762431
vermont,149.79244757693974,238,757,0.19787641687838803,0.3143989431968296
virginia,3527.379343457917,5312,8955,0.39390054086632237,0.5931881630374093
washington,5619.475486300039,8320,18964,0.296323322416159,0.4387260071714828
west virginia,458.180100606818,734,1389,0.329863283374239,0.5284377249820015
wisconsin,1839.2320031474762,2763,5259,0.34973036758841536,0.5253850541928123
wyoming,271.02740945340713,450,764,0.3547479181327318,0.5890052356020943
